,"(p,q)x(P,Q)",AIC
332,"(3, 2, 0, 3)",-2214.266868943764
333,"(7, 0, 0, 3)",-2214.2105823564307
334,"(0, 1, 3, 1)",-2213.6833021658013
335,"(6, 5, 3, 3)",-2213.509996197452
336,"(1, 3, 1, 3)",-2212.940200320506
337,"(3, 5, 2, 1)",-2212.9012762093766
338,"(3, 1, 1, 3)",-2212.6341608109374
339,"(2, 2, 3, 1)",-2212.602350864732
340,"(3, 0, 2, 3)",-2212.274505859236
341,"(0, 3, 3, 1)",-2212.068564067672
342,"(3, 1, 3, 1)",-2211.635511364334
343,"(3, 6, 1, 2)",-2211.2884246956046
344,"(3, 2, 1, 3)",-2211.078312967795
345,"(1, 3, 3, 1)",-2210.8788583475553
346,"(3, 2, 3, 3)",-2210.7340424251825
347,"(3, 0, 3, 3)",-2209.310936520018
348,"(7, 6, 0, 2)",-2209.0253786612993
349,"(5, 5, 0, 2)",-2208.666917952871
350,"(2, 0, 1, 2)",-2207.6219289927326
351,"(2, 0, 2, 2)",-2207.595697597731
352,"(1, 0, 0, 3)",-2207.189207285615
353,"(7, 3, 0, 3)",-2206.803550698999
354,"(3, 7, 3, 0)",-2206.7453940199807
355,"(4, 4, 1, 2)",-2206.5687560738015
356,"(3, 2, 3, 1)",-2205.4320990324895
357,"(5, 6, 2, 1)",-2205.317705809852
358,"(6, 5, 2, 3)",-2204.3258138112024
359,"(2, 0, 3, 3)",-2203.877111280921
360,"(2, 0, 3, 2)",-2203.247897444994
361,"(2, 0, 2, 3)",-2203.1751646870316
362,"(6, 0, 0, 2)",-2202.616172265862
363,"(5, 5, 2, 1)",-2201.7071829015995
364,"(3, 6, 2, 1)",-2201.6938184257874
365,"(2, 3, 2, 1)",-2199.2968654896067
366,"(2, 1, 3, 1)",-2199.089407334394
367,"(0, 5, 0, 2)",-2199.0454262471826
368,"(0, 4, 0, 2)",-2198.3443685022785
369,"(6, 6, 2, 1)",-2198.2866371755076
370,"(2, 5, 2, 1)",-2197.7412904794073
371,"(0, 1, 0, 2)",-2196.972926614022
372,"(6, 4, 3, 3)",-2196.6106155062025
373,"(4, 5, 1, 2)",-2196.211275437089
374,"(1, 0, 3, 2)",-2196.0505580834347
375,"(3, 3, 2, 1)",-2195.9820856053766
376,"(6, 6, 1, 2)",-2195.977263767363
377,"(7, 6, 0, 1)",-2195.6903214324257
378,"(3, 1, 0, 2)",-2195.6867521066533
379,"(0, 2, 0, 2)",-2195.2921954743283
380,"(6, 0, 2, 1)",-2194.8058475771363
381,"(0, 3, 0, 2)",-2194.363159105749
382,"(4, 4, 2, 2)",-2194.3240081023714
383,"(0, 4, 2, 2)",-2194.2291053099866
384,"(1, 4, 3, 1)",-2194.007823099334
385,"(2, 3, 2, 2)",-2193.9222723783023
386,"(4, 0, 1, 2)",-2193.7274225052115
387,"(4, 0, 2, 1)",-2193.6999877198127
388,"(1, 3, 0, 2)",-2193.613895310845
389,"(1, 1, 3, 1)",-2193.365585762517
390,"(2, 1, 0, 2)",-2193.2300265318227
391,"(5, 4, 2, 1)",-2192.907451441921
392,"(6, 4, 2, 1)",-2192.858130912256
393,"(4, 2, 2, 1)",-2192.605541234254
394,"(6, 5, 2, 1)",-2192.3482380572386
395,"(2, 2, 0, 2)",-2192.1939089276075
396,"(1, 2, 0, 2)",-2191.5694934280864
397,"(2, 4, 2, 1)",-2191.563722584392
398,"(1, 0, 1, 3)",-2191.5018022764802
399,"(4, 4, 2, 1)",-2190.7847223400577
400,"(6, 1, 2, 1)",-2190.301106401228
401,"(5, 0, 2, 1)",-2190.235953043072
402,"(1, 4, 0, 2)",-2190.165561376014
403,"(1, 5, 0, 2)",-2189.9254745879653
404,"(4, 1, 2, 1)",-2189.7144161326232
405,"(5, 2, 2, 1)",-2189.6961291349107
406,"(2, 6, 1, 2)",-2189.582883007017
407,"(1, 0, 2, 2)",-2189.383590746924
408,"(4, 6, 2, 1)",-2189.1494070526305
409,"(6, 2, 2, 1)",-2189.1454761063906
410,"(5, 1, 2, 1)",-2186.562603477343
411,"(7, 4, 0, 3)",-2186.370508411073
412,"(4, 6, 1, 2)",-2185.878981031036
413,"(3, 4, 2, 1)",-2185.051110350711
414,"(5, 3, 3, 3)",-2185.028296387395
415,"(7, 1, 0, 2)",-2183.4327489519096
416,"(6, 3, 2, 1)",-2183.390859816046
417,"(3, 1, 2, 2)",-2183.361620469088
418,"(4, 7, 2, 0)",-2182.3858181392015
419,"(2, 7, 3, 0)",-2182.3643727294134
420,"(4, 3, 2, 1)",-2180.605520520679
421,"(6, 7, 2, 0)",-2179.4257310871963
422,"(0, 6, 2, 2)",-2175.6115190223086
423,"(7, 3, 0, 2)",-2174.199884636768
424,"(5, 7, 2, 0)",-2174.0529760371455
425,"(5, 3, 2, 1)",-2173.7513252103395
426,"(1, 0, 1, 2)",-2173.5710653141573
427,"(1, 0, 3, 3)",-2173.0604886537667
428,"(1, 6, 2, 1)",-2170.4942353126507
429,"(1, 0, 2, 3)",-2169.1984158203754
430,"(6, 0, 1, 2)",-2169.127828423933
431,"(3, 5, 1, 2)",-2167.2594509162027
432,"(3, 0, 3, 1)",-2166.016737543716
433,"(1, 5, 2, 1)",-2165.801586530014
434,"(7, 0, 0, 2)",-2164.0957690866444
435,"(5, 4, 0, 3)",-2163.804882217373
436,"(5, 5, 2, 2)",-2163.6822016598812
437,"(1, 3, 2, 2)",-2161.7681541819134
438,"(3, 0, 0, 2)",-2160.80658429513
439,"(0, 6, 1, 1)",-2160.6418712514387
440,"(1, 7, 3, 0)",-2159.4745051447453
441,"(5, 6, 1, 1)",-2159.265540334436
442,"(3, 5, 2, 2)",-2158.8517613015188
443,"(4, 2, 2, 2)",-2158.1818257354316
444,"(5, 2, 0, 2)",-2157.984090376332
445,"(6, 5, 2, 2)",-2156.7050745482143
446,"(6, 4, 2, 2)",-2154.944099649204
447,"(5, 6, 2, 2)",-2154.498247699981
448,"(0, 5, 2, 1)",-2152.634349432567
449,"(0, 1, 2, 1)",-2152.3808417191694
450,"(0, 4, 2, 1)",-2152.1092980271596
451,"(1, 1, 2, 1)",-2152.051530204466
452,"(4, 3, 2, 2)",-2151.828412745158
453,"(0, 2, 2, 1)",-2151.7260883886174
454,"(3, 6, 2, 2)",-2151.587764367505
455,"(2, 4, 2, 2)",-2151.435597498651
456,"(0, 3, 2, 1)",-2150.7696238763615
457,"(7, 2, 0, 2)",-2150.7238624854645
458,"(1, 2, 2, 1)",-2150.4505107343184
459,"(2, 0, 1, 3)",-2150.085465998485
460,"(4, 3, 1, 2)",-2150.0852962996623
461,"(6, 6, 2, 2)",-2150.068220025786
462,"(4, 6, 2, 2)",-2150.000489259638
463,"(6, 4, 1, 2)",-2149.773910826445
464,"(3, 1, 2, 1)",-2149.20110693687
465,"(2, 2, 2, 1)",-2148.5032097890594
466,"(2, 1, 2, 1)",-2147.6366240248803
467,"(6, 4, 1, 1)",-2147.575748551602
468,"(3, 3, 2, 2)",-2147.496637870424
469,"(2, 0, 3, 1)",-2147.235610334356
470,"(1, 4, 2, 1)",-2145.7351769086927
471,"(6, 3, 2, 2)",-2145.3367021004683
472,"(6, 3, 0, 3)",-2143.0731022420073
473,"(3, 2, 2, 1)",-2142.2763540434084
474,"(5, 5, 1, 1)",-2140.3364364146446
475,"(4, 1, 2, 2)",-2139.7303426265667
476,"(2, 6, 1, 1)",-2139.479383061632
477,"(3, 4, 2, 2)",-2137.479041566697
478,"(1, 3, 2, 1)",-2134.737780213391
479,"(3, 7, 2, 0)",-2133.624830877842
480,"(2, 3, 1, 1)",-2133.2975381590877
481,"(5, 4, 2, 2)",-2131.0852111488534
482,"(5, 3, 0, 3)",-2130.5028874119703
483,"(4, 4, 1, 1)",-2127.546387774475
484,"(3, 6, 1, 1)",-2127.447326442643
485,"(4, 2, 0, 2)",-2127.407624994197
486,"(2, 2, 2, 2)",-2126.9653495704556
487,"(6, 2, 2, 2)",-2126.0033230472964
488,"(3, 3, 1, 1)",-2125.502135119375
489,"(6, 0, 2, 2)",-2124.668064011286
490,"(4, 6, 1, 1)",-2123.7630838022637
491,"(6, 1, 2, 2)",-2123.342397985557
492,"(7, 5, 0, 3)",-2123.2111779166444
493,"(4, 3, 1, 1)",-2121.6316080596025
494,"(2, 7, 2, 0)",-2120.7034597146985
495,"(1, 1, 0, 2)",-2120.5895079421025
496,"(5, 3, 2, 2)",-2118.122615305996
497,"(2, 0, 0, 2)",-2117.4618635495153
498,"(5, 6, 0, 1)",-2115.8697823878892
499,"(1, 2, 2, 2)",-2115.090691826333
500,"(3, 4, 1, 1)",-2113.5525691635735
501,"(7, 4, 0, 2)",-2113.4140624002375
502,"(2, 4, 1, 1)",-2112.0102648734787
503,"(3, 2, 0, 2)",-2109.8384825637254
504,"(4, 5, 1, 1)",-2109.5349805204005
505,"(0, 5, 2, 2)",-2108.877287630017
506,"(6, 5, 1, 1)",-2107.872963902735
507,"(2, 5, 1, 1)",-2107.427075351169
508,"(6, 3, 1, 1)",-2107.1628835464517
509,"(3, 0, 2, 1)",-2106.08484192425
510,"(1, 0, 3, 1)",-2104.6119022098574
511,"(3, 5, 1, 1)",-2103.8654819303015
512,"(5, 4, 1, 1)",-2103.075327103473
513,"(1, 5, 2, 2)",-2102.058005961379
514,"(5, 3, 1, 1)",-2101.4533870738815
515,"(0, 7, 3, 0)",-2098.1684275552943
516,"(1, 7, 2, 0)",-2095.8866401005325
517,"(3, 2, 2, 2)",-2095.463728698965
518,"(0, 3, 2, 2)",-2093.3303862142193
519,"(1, 4, 2, 2)",-2091.6792461357086
520,"(2, 1, 2, 2)",-2090.726551735356
521,"(6, 2, 1, 1)",-2089.2357877734257
522,"(5, 4, 0, 2)",-2089.059760688122
523,"(6, 3, 1, 2)",-2088.529346386188
524,"(6, 7, 1, 0)",-2085.6072049120867
525,"(6, 5, 1, 2)",-2084.2891761996625
526,"(5, 5, 3, 0)",-2084.2492500400267
527,"(0, 6, 3, 0)",-2083.161853739813
528,"(6, 1, 1, 1)",-2081.859454446115
529,"(1, 0, 0, 2)",-2079.869323077736
530,"(6, 0, 1, 1)",-2079.5701502938714
531,"(2, 0, 2, 1)",-2078.3568406039303
532,"(5, 0, 1, 1)",-2077.0470863797173
533,"(4, 0, 1, 1)",-2074.993081103546
534,"(7, 3, 0, 1)",-2072.9715864756868
535,"(6, 6, 3, 0)",-2072.5852426429146
536,"(4, 2, 1, 1)",-2072.1402052724156
537,"(5, 2, 1, 1)",-2071.719881453376
538,"(7, 5, 0, 1)",-2069.1529170656795
539,"(6, 5, 3, 0)",-2068.4060906205127
540,"(3, 4, 1, 2)",-2067.8816632096436
541,"(1, 6, 1, 1)",-2067.6812681797182
542,"(2, 1, 1, 1)",-2066.781043159298
